ACT,GPA,Class.Rank,Admission.Decision
15,1.94,0.4327,0
16,2.88,0.4903,0
17,2.34,0.5379,0
18,3.45,0.1892,1
19,3.01,0.26,0
20,2.95,0.5725,0
21,3.4,0.2776,1
22,3.53,0.25,0
23,2.69,0.4444,0
24,4,0.004,1
25,3.93,0.0197,1
26,2.4,0.4336,0
27,3.74,0.1767,0
28,3.66,0.1618,1
29,4,0.0081,1
30,3.25,0.0229,1
31,3.85,0.0249,1
32,3.96,0.0122,1
33,3.6,0.0099,1
34,4,0.04,1
35,3.81,0.005,1
36,4,0.001,1
15,2.18,0.4041,0
16,3.24,0.24,1
17,2.63,0.5024,0
18,3.88,0.1767,1
19,3.38,0.2428,1
20,3.32,0.18,1
21,2.5,0.44,1
22,3.97,0.2335,0
23,2.89,0.4151,0
24,3.78,0.0037,1
25,3.99,0.0184,1
26,2.7,0.405,0
27,4,0.165,1
28,3.54,0.23,1
29,3.78,0.0076,1
30,3.65,0.0214,1
31,3.7,0.15,1
32,3.88,0.0114,1
33,4,0.0092,1
34,3.55,0.0374,1
35,4,0.0047,1
36,4,0.0009,1
24,2.8,0.5600,0
28,3.2,0.3400,1
22,2.98,0.3000,0
29,3.24,0.2450,0
31,3.74,0.1800,1
32,3.54,0.2000,1
